record_id,station_id,river_name,state,date,month,rainfall_mm,upstream_rainfall_mm,forecast_rainfall_next24_mm,water_level_m,warning_level_m,danger_level_m,discharge_cumecs,temperature_c,humidity_pct,soil_moisture_pct,wind_speed_kmph,reservoir_release_cumecs,embankment_condition,historical_flood_freq,distance_to_river_km,elevation_m,population_density,flood_risk_score,alert_level,flood_occurred
24,STN0441,narmada,maharashtra,10/10/2016,10.0,78.3,91.0,96.3,3.7,3.59,4.57,588.8,27.5,59.9,41.2,28.9,0.0,MODERATE,1.0,3.94,152.0,9039.0,0.493,High,1
25,stn0185,brahmaputra,assam,2018-12-01,12.0,47.3,35.0,47.5,4.06,6.21,7.67,1478.6,24.4,38.7,45.1,16.6,124.7,moderate,0.0,3.47,395.2,6510.0,0.36,LOW,0
26,stn0481,Godavari,WEST BENGAL,2022/04/11,4.0,88.5,94.0,32.5,3.84,4.75,5.66,1003.0,16.7,55.6,42.7,18.7,31.0, Good ,0.0,8.17,277.1,9886.0,0.347,Low,0
27,stn0303,ganga, Uttar Pradesh ,09-14-2024,9.0,,,66.8,,5.36,6.18,767.8,35.8,86.6,51.4,18.6,267.8,good,2.0,7.99,128.2,5128.0,0.432,Low,0
28,stn0195,CAUVERY,ANDHRA PRADESH,09-07-2016,9.0,98.0,63.9,66.5,7.79,8.02,8.98,2047.0,42.1,77.9,53.8,14.7,153.7,GOOD,1.0,14.06,291.1,3516.0,0.53,MODERATE,1
29,stn0081,narmada,Maharashtra,30/04/2024,4.0,61.4,59.5,44.2,5.28,6.62,7.65,1971.4,21.9,49.4,18.5,18.5,126.7,MODERATE,0.0,14.21,328.0,2314.0,0.399,Low,0
30,STN0467,Kosi, Gujarat ,2021-05-07,5.0,63.9,60.1,78.2,3.25,3.98,5.28,893.7,27.0,68.7,23.7,18.0,78.0,MODERATE,0.0,11.52,22.1,1563.0,0.394,Low,0
31,Stn-0256,Brahmaputra,Assam,2015-04-09,4.0,42.1,27.6,20.0,1.66,3.81,5.14,576.5,23.2,51.2,19.9,14.3,117.2, Moderate ,0.0,10.62,375.1,2954.0,0.351,LOW,0
32,STN0049,NARMADA,MAHARASHTRA,2015-11-16,11.0,110.8,69.1,110.3,3.71,4.97,6.38,1220.4,29.0,52.3,5.0,16.7,23.7,Moderate,0.0,13.72,378.1,4005.0,0.378,low,No
33,STN0279,Cauvery,Andhra Pradesh,2017-11-16,11.0,17.7,18.3,21.7,6.09,8.02,9.35,1595.9,23.5,46.2,24.4,22.6,166.7,MODERATE,0.0,6.96,73.5,,0.39,Low,0
34,STN0237,NARMADA, Maharashtra ,02-03-2017,2.0,46.5,42.0,40.4,4.39,5.76,7.16,1308.7,23.2,56.4,21.0,16.7,120.5,Moderate,0.0,14.3,162.7,1044.0,0.411,LOW,0
35,STN0228,NARMADA,Maharashtra,2018-09-21,9.0,-74.3,61.7,87.5,5.84,7.15,8.24,2306.9,29.7,80.2,65.0,11.6,283.0,good,4.0,14.95,216.7,2074.0,0.514,Moderate,0
36,Stn-0489,godavari,West Bengal,23/11/2022,11.0,80.8,54.6,88.5,1.88,3.52,5.0,408.8,23.8,43.3,30.4,9.4,96.3,POOR,0.0,12.69,292.0,8496.0,0.21,low,0
37,STN0215,TAPI,karnataka,2022-06-18,6.0,97.0,61.6,90.7,,7.65,8.87,2444.4,27.9,92.0,51.9,8.3,215.3,POOR,1.0,8.32,136.5,7886.0,0.633,Moderate,0
38,STN0444,GODAVARI,West Bengal,2023-10-23,10.0,43.3,41.9,48.4,,8.0,9.31,2167.9,30.5,49.5,,17.6,71.8,POOR,0.0,9.62,247.1,4321.0,0.422,Low,0
39,Stn-0489,Godavari,West Bengal,25/04/2022,4.0,62.9,46.5,73.8,2.92,3.52,5.0,672.8,25.3,55.2,9.7,14.2,27.6,Good,1.0,11.15,292.0,8496.0,0.252,low,0
40,Stn-0338,Tapi, Karnataka ,2019-01-25,1.0,18.1,15.3,34.4,6.42,7.45,8.58,1898.0,28.5,50.8,26.5,19.7,105.5,good,0.0,3.22,81.9,2305.0,0.354,Low,0
41,STN0002,Godavari,West Bengal,2017-11-15,11.0,48.7,32.2,45.1,8.09,8.19,9.01,1483.4,31.7,42.0,47.4,21.5,11.1,Moderate,0.0,4.76km,71.2,162.0,0.521, Moderate ,0
42,STN0234,ganga,uttar pradesh,02/06/2018,6.0,129.7,83.1,165.0,,6.21,7.16,2032.3,38.3,71.4,,10.1,152.3,GOOD,3.0,10.78,319.2,6376.0,0.632,Moderate,0
43,STN0266,Godavari,WEST BENGAL,01-21-2022,1.0,114.2,147.8,79.8,4.01,3.89,5.26,1379.1,29.2,55.1,35.5,20.1,98.3,GOOD,0.0,10.75,341.3,11751.0,0.445,High,0
44,Stn-0084,GANGA,Uttar Pradesh,2016-10-26,10.0,33.0,44.4,36.5,4.85,6.79,7.64,1650.2,18.3,34.7,56.8,11.5,153.1,GOOD,0.0,2.19,7.3,5847.0,0.4,low,0
45,STN0110,Brahmaputra,ASSAM,25/12/2020,12.0,62.8,75.7,54.0,5.0,6.99,8.13,854.1,39.3,53.3,62.3,13.8,129.6,good,0.0,11.28,307.1,5902.0,0.449,Low,0
46,STN0172,Ganga,UTTAR PRADESH,2019/08/27,8.0,46.9,34.6,22.2,5.81,7.46,8.42,1337.9,32.5,87.3,63.4,12.4,178.0,MODERATE,2.0,6.79,71.4,6280.0,0.59,Moderate,0
47,STN0468,YAMUNA,Bihar,2021-10-06,10.0,20.4,19.2,25.2,1.41,3.97,5.41,281.0,17.8,61.6,63.9,25.1,0.0,,1.0,9.17,70.1,6747.0,0.233,Low,No
48,STN0224,yamuna,BIHAR,26/07/2018,7.0,269.6,286.5,270.9,7.06,5.55,6.92,2569.4,26.8,80.3,60.5,6.0,182.5,moderate,0.0,12.52,383.3,5071.0,0.775, Severe ,1
49,STN0460,BRAHMAPUTRA,Assam,04-16-2015,4.0,70.9,47.4,53.7,3.58,3.62,4.83,1008.5,19.2,45.9,54.0,19.1,59.3,Moderate,0.0,12.45,292.8,1791.0,0.399,Low,0
50,STN0444,Godavari, West Bengal ,03/09/2015,9.0,239.4,265.2,207.1,9.81,8.0,9.31,3230.3,30.2,242.1,93.2,19.5,222.8,Gud,3.0,6.63,247.1,4321.0,0.814, Severe ,1
51,STN0422,GANGA,UTTAR PRADESH,14/08/2018,8.0,118.3,105.5,132.6,,3.61,4.52,1359.4,26.7,81.7,82.0,28.2,246.0,moderate,1.0,3.65,52.9,8596.0,0.569,MODERATE,0
52,Stn-0300,tapi,karnataka,2024-07-08,7.0,83.1,64.9,81.1,4.53,6.02,6.91,1151.0,28.4,63.7,64.0,29.8,182.8,Moderate,1.0,0.53,222.1,,0.595, Moderate ,0
53,STN0371,godavari,West Bengal,2024-10-23,10.0,80.5,67.0,61.4,2.8,3.76,5.05,446.8,25.1,51.7,43.8,12.3,24.7,god,0.0,14.27,186.5,,0.404,LOW,No
54,STN0293,Godavari,West Bengal,24/01/2024,1.0,49.1,63.3,44.3,5.25,6.0,7.04,2068.3,23.5,54.8,27.3,14.4,87.8,good,0.0,2.58,162.5,8081.0,0.33, Low ,0
55,STN0134,cauvery,andhra pradesh,2024-06-13,6.0,36.6,29.1,42.7,5.01,6.4,7.28,1339.7,27.4,82.8,83.5,26.9,163.8,good,4.0,4.38,112.7,11666.0,0.356,LOW,0
56,Stn-0126,Godavari,WEST BENGAL,2023/09/06,9.0,-167.2,,91.1,6.97,5.71,6.84,1393.3,28.7,63.7,79.5,13.8,174.0,moderate,0.0,10.54,106.4,3195.0,0.733,severe,1
57,Stn-0350,Yamuna,bihar,2021-12-15,12.0,7.5,7.1,11.7,5.4,6.39,7.62,1505.9,26.0,66.0,26.5,18.6,104.5,poor,0.0,3.77,59.2,1467.0,0.377,LOW,0
58,STN0135,yamuna, Bihar ,07/11/2016,11.0,29.6,39.8,33.0,7.03,7.49,8.34,1623.6,23.4,62.6,5.0,7.8,168.1,,0.0,1.31,168.4,7341.0,0.49,Moderate,0
59,STN0442,yamuna,Bihar,06-23-2017,6.0,164.5,172.8,121.5,6.4,6.7,7.82,1465.7,39.4,73.4,62.8,16.3,133.6,Good,3.0,11.15,175.7,944.0,0.588,Moderate,0
60,STN0415,GODAVARI,West Bengal,2018/04/14,4.0,14.6,15.0,36.3,5.43,7.73,8.85,829.8,15.3,50.6,31.8,19.0,105.9, Good ,0.0,11.74,37.5,11914.0,0.385,low,0
61,STN0318,Mahanadi,MADHYA PRADESH,04-11-2015,4.0,74.7,57.3,41.9,7.68,8.05,9.33,2387.9,27.2,55.6,31.4,16.5,73.7,poor,0.0,6.78,279.5,3450.0,0.55,Moderate,0
62,STN0125, Ganga , Uttar Pradesh ,21-Jun-2021,6.0,,53.4,0.0,6.17,7.23,8.69,1209.7,25.6,100.0,,9.5,268.8,Good,2.0,9.39,196.9,5083.0,0.414,Low,0
63,STN0106,KRISHNA,Odisha,09-25-2017,9.0,14.6,11.8,21.0,2.56,4.05,5.31,906.5,25.5,89.9,49.0,8.6,167.4,Good,2.0,4.56,162.5,9136.0,0.386,low,0
64,STN0363,cauvery,ANDHRA PRADESH,2021/01/28,1.0,38.8,36.9,18.7,4.0,4.72,5.74,956.1,22.7,73.4,,15.5,7.8,GOOD,0.0,2.81,43.7,10721.0,0.344,LOW,0
65,Stn-0361,godavari,WEST BENGAL,2024/04/18,4.0,41.0,54.3,26.5,2.76,4.27,5.26,585.2,,54.2,40.6,22.8,124.0,,0.0,7.13,184.5,9309.0,0.298,Low,0
66,STN0061,GODAVARI, West Bengal ,2024/11/27,11.0,38.0,40.1,14.2,2.29,4.23,5.09,987.8,30.7,44.1,21.3,31.4,53.8,good,0.0,8.75,160.6,1508.0,0.257,LOW,0
67,STN0060,Kosi,GUJARAT,2021/11/12,11.0,60.1,59.4,55.2,2.5,3.77,5.09,347.3,29.1,37.1,31.9,24.8,177.6,moderate,0.0,13.82,265.3,9449.0,0.461,MODERATE,0
68,STN0266,Godavari, West Bengal ,2019-01-24,1.0,28.2,21.9,42.4,1.98,3.89,5.26,551.9,23.7,68.1,26.0,21.5,159.5, Moderate ,0.0,1.72,341.3,11751.0,0.281,Low,0
69,Stn-0140,GODAVARI,West Bengal,11/02/2016,2.0,44.5,31.7,51.3,2.18,4.13,5.15,390.6,26.0,47.7,13.6,4.5,94.7,MODERATE,0.0,0.17,212.4,3086.0,0.348,low,0
70,STN0027,kosi, Gujarat ,25/10/2016,10.0,41.3,39.6,31.0,3.88,5.72,6.71,1042.2,31.3,49.6,46.2,30.1,162.7, Moderate ,0.0,6.15,7.0,7099.0,0.377,LOW,0
71,STN0248, Mahanadi ,Madhya Pradesh,2019/02/17,2.0,,40.5,24.7,,6.64,7.9,1941.7,22.3,49.2,21.6,3.5,54.7,,0.0,9.28,331.3,4357.0,0.352,LOW,0
72,STN0014,brahmaputra,ASSAM,2021/04/23,4.0,30.7,28.5,38.2,5.71,6.28,7.37,1769.3,19.4,42.8,29.0,18.0,53.0,GOOD,0.0,2.54,27.5,4482.0,0.434,Low,0
73,STN0402,Ganga, Uttar Pradesh ,2021-10-08,10.0,29.7,35.0,28.6,2.08,3.8,5.26,609.2,28.2,51.2,48.7,9.2,43.3,Good,0.0,5.54,296.3,6907.0,0.213,low,0
74,STN0430,Yamuna,Bihar,2022-01-10,1.0,55.7,46.0,97.1,6.17,5.61,6.76,1924.1,23.5,62.5,41.6,12.4,123.4,Moderate,0.0,5.54,120.7,,0.458,high,1
75,Stn-0289,Ganga,UTTAR PRADESH,13/12/2023,12.0,64.1,56.3,45.6,6.19,7.34,8.35,2174.9,23.7,57.2,49.0,3.3,73.7,MODERATE,0.0,7.75,244.5,9482.0,0.434,low,0
76,STN0199,YAMUNA, Bihar ,02-15-2023,2.0,29.7,33.2,44.8,2.47,4.11,5.46,550.2,21.2,,10.3,0.0,108.8,moderate,0.0,1.56,38.8,9595.0,0.27,low,0
77,STN0129,Narmada,maharashtra,02-27-2015,2.0,14.7,11.1,6.2,2.81,3.76,4.78,593.9,16.3,41.6,22.9,9.3,98.2,MODERATE,0.0,1.8,322.2,3152.0,0.344, Low ,0
78,STN0130,narmada,MAHARASHTRA,08-04-2024,8.0,55.0,33.5,45.0,6.01,7.44,8.82,1196.0,24.0,68.4,63.2,14.2,248.5,Moderate,2.0,11.48,218.0,7884.0,0.504,Moderate,No
79,STN0092,Ganga,uttar pradesh,06/10/2019,10.0,-9.7,8.0,37.6,4.5,6.31,7.6,1448.2,33.2,47.8,19.1,28.1,97.9,good,0.0,7.41,152.4,1991.0,0.327,LOW,0
80,STN0500,Brahmaputra,Assam,02/03/2024,3.0,58.6,49.3,63.9,1.78,3.64,4.93,587.5,29.6,62.1,22.7,16.3,124.4, Good ,0.0,13.08,314.6,7679.0,0.252, Low ,0
81,STN0385,Narmada, Maharashtra ,2024-10-31,10.0,40.3,45.4,32.5,2.03,4.38,5.41,631.7,28.3,49.4,5.0,11.5,86.0,Good,0.0,4.02,265.4,1766.0,0.154,low,0
82,STN0140,Godavari,West Bengal,21/11/2022,11.0,9.2,10.1,0.0,2.67,4.13,5.15,545.5,23.1,67.2,39.6,7.6,125.8,GOOD,1.0,6.89,212.4,3086.0,0.374,LOW,0
83,Stn-0124, Narmada , Maharashtra ,30/05/2021,5.0,21.3,15.9,32.4,6.41,7.23,8.71,1226.0,24.0,53.3,33.4,6.6,63.0, Moderate ,0.0,5.8,45.1,721.0,0.45,LOW,1
84,STN0420, Narmada ,maharashtra,2023-10-15,10.0,17.3,19.5,24.0,3.84,5.34,6.18,1446.6,31.9,74.4,57.0,20.4,0.0,GOOD,0.0,6.24,155.9,4991.0,0.373, Low ,0
85,STN0244,Mahanadi,Madhya Pradesh,2019/12/29,12.0,73.1,79.6,65.3,,4.94,6.14,1561.9,20.6,51.6,18.5,9.2,71.7,good,0.0,9.26,251.3,3840.0,0.398,low,0
86,STN0059,cauvery,Andhra Pradesh,2018-06-07,6.0,43.2,41.2,53.4,1.87,3.86,4.78,637.3,31.1,,27.0,19.8,224.9,Poor,1.0,14.35,90.2,7670.0,0.268,Low,0
87,STN0263,CAUVERY,andhra pradesh,04-06-2017,4.0,35.4,,21.6,5.21,6.5,7.53,2007.8,22.1,55.0,29.2,22.0,52.0,good,1.0,4.49,368.2,4293.0,0.49,Moderate,0
88,STN0100,mahanadi,Madhya Pradesh,26/05/2022,5.0,45.8,28.3,37.6,7.73,8.32,9.43,1888.9,14.8,76.4,61.3,15.8,130.0,,1.0,13.53,346.0,3458.0,0.496,Moderate,0
89,STN0449,GANGA,Uttar Pradesh,23/01/2020,1.0,54.1,56.9,50.8,4.5,5.52,7.01,1661.1,,55.8,47.8,18.7,18.2,good,2.0,5.06,355.3,7164.0,0.294,Low,0
90,STN0429,GODAVARI,West Bengal,2023-08-26,8.0,349.2,341.9,324.7,8.39,6.93,8.19,2526.7,38.4,78.2,50.7,26.1,138.2,MODERATE,3.0,8.36,320.5,7673.0,0.831,severe,1
91,STN0363,Cauvery,andhra pradesh,2017-02-08,2.0,51.1,51.0,36.1,4.55,4.72,5.74,1655.0,27.8,56.0,21.7,27.2,77.6,Moderate,1.0,2.52,43.7,10721.0,0.518,Moderate,0
92,STN0089,Mahanadi,Madhya Pradesh,20/11/2019,11.0,15.0,10.5,13.3,6.31,8.28,9.25,1702.8,15.7,55.6,63.0,,121.0,GOOD,2.0,3.13,158.5,5298.0,0.379,Low,0
93,STN0022,Ganga,UTTAR PRADESH,2018-10-09,10.0,13.0,15.4,6.5,6.44,7.31,8.45,2306.3,25.6,53.9,27.5,30.8,247.5,Good,0.0,0.8,205.4,138.0,0.386,LOW,0
94,Stn-0277,ganga, Uttar Pradesh ,2015-04-11,4.0,53.4,71.7,40.8,3.54,3.71,5.06,901.4,21.8,57.1,61.8,15.5,168.4,MODERATE,0.0,9.02,37.0,3423.0,0.412,low,0
95,STN0374,Brahmaputra,Assam,16/05/2015,5.0,156.3,155.4,149.1,5.4,5.66,6.49,804.6,20.4,61.4,45.6,16.5,164.3,good,0.0,4.6,382.4,7861.0,0.568,MODERATE,0
96,STN0278,brahmaputra,Assam,2021/12/19,12.0,61.5,55.5,68.1,3.61,5.62,6.49,1265.8,20.8,47.7,22.6,11.4,106.1,good,2.0,10.83,164.2,7750.0,0.306,low,0
97,STN0243,GODAVARI,West Bengal,18/05/2019,5.0,51.5,69.8,42.1,4.01,4.29,5.56,1606.7,26.6,54.0,35.9,10.5,143.4,poor,0.0,1.1,210.8,8551.0,0.496,MODERATE,0
98,STN0443,GANGA,Uttar Pradesh,20-Jan-2019,1.0,32.3,33.5,33.0,1.59,3.98,5.39,512.5,23.6,201.4,35.7,26.1,69.8,Good,0.0,13.65,178.6,1054.0,0.137,low,0
99,STN0047, Yamuna ,Bihar,23/03/2024,3.0,0.5,0.4,0.0,7.99,8.53,9.43,2723.6,18.2,51.2,5.0,14.0,144.6,Good,0.0,2.69,278.6,5338.0,0.409,Low,0
100,Stn-0370,NARMADA,MAHARASHTRA,09-26-2019,9.0,392.1,342.8,249.1,10.54,7.61,8.61,2203.4,19.8,72.3,58.3,15.1,231.6, Poor ,4.0,11.78,160.8,6197.0,0.912,Severe,1
101,STN0214,GODAVARI,west bengal,02-17-2021,2.0,55.5,,17.2,3.09,3.73,4.91,1163.8,,61.6,35.7,25.2,6.2,Good,0.0,5.69,133.1,10738.0,0.362, Low ,0
102,STN0248,MAHANADI,madhya pradesh,01-08-2018,1.0,27.0,22.6,41.3,5.17,6.64,7.9,1377.6,27.5,59.9,14.3,12.8,151.9,good,0.0,10.06,331.3,4357.0,0.375,low,0
103,stn0260,Yamuna,BIHAR,07-31-2024,7.0,62.6,87.3,50.7,4.73,6.53,7.35,1278.1,37.9,81.5,,18.9,180.5,poor,1.0,2.82,181.6,9011.0,0.519,Moderate,0
104,STN0133, Brahmaputra ,ASSAM,08-Sep-2021,9.0,60.9,53.9,53.3,7.28,8.52,9.48,2135.8,24.2,99.1,,8.1,254.5,god,2.0,10.0,287.9,5620.0,0.455,moderate,0
105,Stn-0296,GANGA,UTTAR PRADESH,12-27-2020,12.0,74.5,60.2,82.9,6.31,6.14,7.55,2095.9,23.1,58.1,20.5,13.2,31.9,good,0.0,13.03,31.9,5419.0,0.495,high,1
106,STN0361,GODAVARI,west bengal,15-Aug-2020,8.0,98.3,,67.3,4.42,4.27,5.26,1183.1,34.4,84.5,61.9,16.9,222.5,Poor,1.0,6.37,184.5,9309.0,0.663,HIGH,Yes
107,STN0277,ganga,uttar pradesh,2020-03-27,3.0,96.5,71.9,65.2,2.8,3.71,5.06,686.2,24.3,65.5,27.2,6.5,132.5, Moderate ,0.0,6.81,37.0,3423.0,0.374,low,No
108,STN0500,brahmaputra,Assam,19/01/2015,1.0,43.8,59.2,40.5,3.24,3.64,4.93,1058.9,21.0,50.8,6.2,,,Good,0.0,5.88,314.6,7679.0,0.413, Low ,0
109,STN0044,Tapi,Karnataka,2015/09/04,9.0,288.4,298.4,172.5,7.04,4.97,6.35,2041.4,27.4,100.0,59.0,13.0,217.7,,3.0,6.2km,180.3,8521.0,0.789,Severe,1
110,STN0016,krishna,odisha,18/01/2018,1.0,85.7,98.3,121.1,,5.63,6.74,1633.9,22.5,71.3,41.1,16.6,101.1, Moderate ,0.0,7.14,375.0,8692.0,0.438,Low,0
111,STN0479,KRISHNA,Odisha,15-Jun-2022,6.0,103.9,89.5,117.5,4.46,3.59,4.64,1410.0,37.8,87.7,,29.5,251.9,moderate,3.0,12.05,122.5,5412.0,0.61,high,0
112,STN0028,brahmaputra,Assam,2020/06/02,6.0,70.3,73.2,75.1,6.82,7.76,8.94,2075.2,29.1,63.0,82.0,20.2,170.7,god,2.0,12.48,381.0,5823.0,0.561,Moderate,0
113,STN0192,Narmada,Maharashtra,2015/09/08,9.0,179.4,159.6,147.6,7.21,6.45,7.7,1172.5,31.0,81.4,50.4,11.9,176.0,Modrate,0.0,13.66,396.5,11577.0,0.616,high,0
114,stn0341, Narmada ,MAHARASHTRA,15/07/2016,7.0,77.3,72.6,53.4,4.02,5.4,6.81,779.4,32.4,99.1,20.4,8.7,108.6,Moderate,6.0,4.17,331.9,9555.0,0.355, Low ,0
115,STN0366,GANGA, Uttar Pradesh ,2019-02-11,2.0,38.9,29.0,62.0,4.87,6.5,7.35,802.7,22.9,51.0,35.4,30.0,70.2,moderate,0.0,8.88,133.2,7612.0,0.477,Moderate,0
116,STN0389,KRISHNA,Odisha,28-Dec-2017,12.0,62.7,63.0,67.2,4.94,5.99,6.81,728.6,28.1,51.8,56.4,9.5,93.3,GOOD,0.0,6.81,31.3,5836.0,0.498,moderate,No
117,STN0108,MAHANADI,MADHYA PRADESH,2015-08-26,8.0,127.1,172.6,157.7,7.55,7.22,8.61,2802.8,28.6,65.0,47.4,24.0,326.7,good,0.0,14.43,215.8,9342.0,0.57,HIGH,1
118,Stn-0071,mahanadi,Madhya Pradesh,2015/08/23,8.0,112.3,113.9,65.9,2.35,3.3,4.56,694.0,,80.3,43.9,15.0,204.3,moderate,4.0,10.87,229.0,387.0,0.399,LOW,0
119,stn0042,Yamuna,Bihar,2023-10-25,10.0,130.4,163.0,102.5,8.39,8.24,9.43,2314.2,31.3,70.3,5.0,15.1,126.2,moderate,0.0,11.85,42.1,4077.0,0.477,High,1
120,STN0489,GODAVARI,WEST BENGAL,27-Jan-2024,1.0,50.7,56.8,31.0,1.54,3.52,5.0,539.8,29.0,66.6,37.8,,54.2,moderate,0.0,12.95,292.0,8496.0,0.178, Low ,0
121,STN0370,Narmada,Maharashtra,22/12/2021,12.0,69.3,57.1,67.7,7.08,7.61,8.61,1490.3,28.2,47.6,18.2,12.2,85.3, Moderate ,0.0,8.44,160.8,6197.0,0.516,Moderate,0
122,STN0039,Yamuna,BIHAR,05/06/2016,6.0,84.6,67.2,82.2,6.38,7.15,8.03,1447.4,30.6,86.8,35.0,14.6,184.9,GOOD,2.0,14.12,84.7,6029.0,0.578,Moderate,0
123,stn0462, Ganga ,uttar pradesh,19/11/2022,11.0,60.9,73.8,87.5,5.3,5.82,6.77,1925.1,26.9,65.7,59.4,19.5,53.1,Good,0.0,9.64,264.2,5122.0,0.451,Moderate,0
124,STN0500,Brahmaputra,Assam,2017-06-17,6.0,114.1,90.5,152.3,3.4,3.64,4.93,1158.9,,65.5,59.6,25.7,292.4,GOOD,4.0,11.82,314.6,7679.0,0.554,moderate,0
